claim_id,document,line,claim_text,numeric_occurrence,category,status,source_value,source,note,report_sha256
F04-0001,REPORT.md,1,"Validation gate: PASS. January's calculated median is 15.03957 weeks, compared with the official 15.0 weeks: a difference of 0.03957 weeks, inside the required 0.1-week tolerance. The later workbook comparisons below also pass.",15.03957,measured quantity,VERIFIED,15.039572851097873,Independent January raw median; live official workbook and January statistical release; brief gate tolerance,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0002,REPORT.md,1,"Validation gate: PASS. January's calculated median is 15.03957 weeks, compared with the official 15.0 weeks: a difference of 0.03957 weeks, inside the required 0.1-week tolerance. The later workbook comparisons below also pass.",15.0,measured quantity,VERIFIED,15.0395728510979,Independent January raw median; live official workbook and January statistical release; brief gate tolerance,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0003,REPORT.md,1,"Validation gate: PASS. January's calculated median is 15.03957 weeks, compared with the official 15.0 weeks: a difference of 0.03957 weeks, inside the required 0.1-week tolerance. The later workbook comparisons below also pass.",0.03957,measured quantity,VERIFIED,0.039572851097872785,Independent January raw median; live official workbook and January statistical release; brief gate tolerance,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0004,REPORT.md,1,"Validation gate: PASS. January's calculated median is 15.03957 weeks, compared with the official 15.0 weeks: a difference of 0.03957 weeks, inside the required 0.1-week tolerance. The later workbook comparisons below also pass.",0.1,measured quantity,VERIFIED,0.1,Independent January raw median; live official workbook and January statistical release; brief gate tolerance,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0005,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",Part_2,raw schema/scope identifier,VERIFIED,"""Part_2""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0006,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_999,raw schema/scope identifier,VERIFIED,"""C_999""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0007,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_100,raw schema/scope identifier,VERIFIED,"""C_100""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0008,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_110,raw schema/scope identifier,VERIFIED,"""C_110""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0009,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_120,raw schema/scope identifier,VERIFIED,"""C_120""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
F04-0010,REPORT.md,3,"Declared scope: Reported England-commissioned consultant-led referral-to-treatment pathways still waiting at month-end; no estimates added for missing providers; exact Part_2; commissioner NONC excluded. National figures aggregate submitted data and count all specialties once, using C_999 Total rows, reconciled to the sum of the individual specialties. Specialty figures use only C_100, C_110, C_120, C_130, C_301, C_320 and C_400. The main series covers January 2024 to May 2026. These are pathways, not unique people: a person can have more than one. Completed pathways and the historical baseline are labelled wherever used.",C_130,raw schema/scope identifier,VERIFIED,"""C_130""",NHS RTT guidance; brief definitions; raw file/header inventory,,90dac13322fe31df5dd237207d3da539bedc943785492dee548bd2a0adcf3b57
